season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,windspeed,leaflets,price reduction,cnt
2.0,0,6,0,0,1,1,24.8,0.587133,0.1611180865698955,991,0,5312
4.0,1,11,0,6,1,2,12.8667,0.324492,0.11439151355659112,601,0,5445
1.0,1,1,0,1,1,1,6.0,0.126275,0.1983211799147661,549,0,2236
2.0,1,4,1,0,0,1,26.5667,0.614925,0.17295301448685543,740,0,6370
1.0,1,3,0,1,0,2,20.5667,0.505046,0.08915995881041588,773,1,7836
3.0,0,9,0,4,1,1,26.9333,0.6269,0.12209728256086509,761,0,4785
1.0,1,2,0,1,1,1,13.7333,0.3516289999999999,0.1410309492536898,877,1,4154
4.0,1,10,0,2,1,2,26.3,0.607975,0.09351267756359834,479,0,7328
1.0,0,10,0,5,0,2,16.4,0.412863,0.17557042809438714,628,0,2429
2.0,0,5,0,6,1,1,21.3,0.525246,0.1265945268164214,838,0,4362
3.0,0,6,0,0,1,1,28.9667,0.656583,0.1482640028519002,779,0,4991
3.0,0,8,0,5,1,1,30.8667,0.703292,0.1164375286402004,533,0,4266
2.0,1,6,0,0,0,1,25.2667,0.594708,0.12176467550417841,932,0,7702
3.0,1,8,0,3,0,1,28.0333,0.644579,0.09660352923206991,513,0,6544
3.0,0,8,0,6,1,1,31.0,0.724121,0.11335769069240303,464,0,4602
1.0,0,9,0,2,1,2,25.9667,0.589042,0.08915738155904653,495,1,4630
1.0,1,2,0,5,1,1,11.513,0.295113,0.1409716751900212,587,0,3777
1.0,0,1,0,6,0,1,8.6609,0.250322,0.0637795577467816,548,0,1096
3.0,1,7,0,2,1,1,31.7333,0.745583,0.10556374932846155,977,0,5713
3.0,1,8,0,0,1,1,28.7667,0.654688,0.10808637393116034,755,0,7605
2.0,0,5,0,5,0,2,22.5,0.536,0.11438709600182816,1024,0,4553
1.0,1,2,0,6,1,2,13.7739,0.34847,0.12817277046188405,629,0,1834
3.0,0,8,0,5,1,1,26.6333,0.616167,0.1424512316325611,815,0,4338
2.0,1,5,0,0,1,1,25.4667,0.595975,0.09660352923206991,588,0,7424
2.0,1,6,0,5,1,1,24.1,0.569442,0.11678205802034304,537,0,7494
3.0,0,7,0,4,1,1,30.0,0.686871,0.11778454459068251,723,0,4592
1.0,0,1,0,6,0,1,5.5333,0.116175,0.19728483938449826,836,0,822
1.0,1,1,0,4,1,1,10.9667,0.249362,0.20170354479871802,911,0,3214
1.0,1,12,0,6,0,1,10.6333,0.236113,0.20918783788774364,572,0,1749
1.0,0,1,0,1,1,1,8.0,0.2121219999999999,0.11837535182900494,734,0,1562
1.0,1,7,0,1,1,2,28.8333,0.664796,0.11369973694668552,516,1,6290
2.0,0,5,0,0,1,2,26.4,0.604813,0.14160213899224297,829,0,4492
2.0,1,4,0,2,1,1,19.0667,0.470317,0.09429352894977147,636,0,6196
3.0,1,7,0,1,1,1,28.5333,0.662896,0.12110991211303215,864,0,7216
3.0,1,7,0,1,1,1,32.7333,0.755683,0.09154343356082566,809,0,6786
1.0,1,11,0,4,1,2,13.7333,0.323225,0.19154184986622255,542,0,4094
4.0,1,11,0,6,1,1,11.2348,0.2984219999999999,0.09223655780021264,509,0,5323
4.0,1,9,0,5,1,2,24.7667,0.585863,0.12045015109982811,658,0,7415
